4 108
1 3 5
1 5 4
1 6 8
1 11 13
1 12 12
1 14 2
2 5 3
2 6 5
2 7 15
2 8 14
2 9 11
2 10 2
2 11 10
2 12 1
3 1 1
3 3 4
3 4 6
3 13 8
3 14 7
3 16 10
4 3 2
4 4 3
4 6 10
4 11 5
4 13 11
4 14 15
5 1 2
5 2 12
5 7 6
5 8 11
5 9 10
5 10 15
5 15 4
5 16 16
6 1 6
6 2 3
6 4 14
6 13 9
6 15 10
6 16 7
7 2 10
7 5 9
7 7 2
7 8 8
7 9 3
7 10 1
7 12 7
7 15 12
8 2 4
8 5 10
8 7 3
8 10 16
8 12 6
8 15 8
9 2 5
9 5 6
9 7 1
9 10 11
9 12 15
9 15 16
10 2 6
10 5 12
10 7 8
10 8 16
10 9 5
10 10 4
10 12 9
10 15 2
11 1 16
11 2 9
11 4 2
11 13 13
11 15 11
11 16 14
12 1 10
12 2 15
12 7 14
12 8 3
12 9 16
12 10 13
12 15 1
12 16 6
13 3 6
13 4 7
13 6 3
13 11 11
13 13 14
13 14 8
14 1 12
14 3 3
14 4 16
14 13 2
14 14 4
14 16 5
15 5 14
15 6 15
15 7 13
15 8 12
15 9 8
15 10 7
15 11 9
15 12 3
16 3 10
16 5 8
16 6 6
16 11 1
16 12 4
16 14 13
