3 72
1 1 2
1 2 3
1 3 4
1 4 5
1 5 6
1 6 7
1 7 8
1 8 9
1 9 1
2 1 3
2 2 4
2 3 5
2 4 6
2 5 7
2 6 8
2 7 9
2 8 1
2 9 2
3 1 4
3 2 5
3 3 6
3 4 7
3 5 8
3 6 9
3 7 1
3 8 2
3 9 3
4 1 5
4 2 6
4 3 7
4 4 8
4 5 9
4 6 1
4 7 2
4 8 3
4 9 4
5 1 6
5 2 7
5 3 8
5 4 9
5 5 1
5 6 2
5 7 3
5 8 4
5 9 5
6 1 7
6 2 8
6 3 9
6 4 1
6 5 2
6 6 3
6 7 4
6 8 5
6 9 6
7 1 7
7 2 8
7 3 9
7 4 1
7 5 2
7 6 3
7 7 4
7 8 5
7 9 6
9 1 4
9 2 5
9 3 6
9 4 7
9 5 8
9 6 9
9 7 1
9 8 2
9 9 3
